Can I Use an Easement That Abuts to My Property	 real
Paycheck Reversal of Direct Deposit	 employment
My Employer Wants to Reduce My Pay	 employment
Salary Exempt Employee is Being Treated as Hourly	 employment
Denied Unemployment After Unfair Termination for Willful Misconduct	 employment
Wrongfully Terminated for Protesting at an Abortion Clinic	 employment
Fired for Refusing a Random Drug Test	 employment
Placed on Involuntary Maternity Leave After Requesting Medical Accommodation	 employment
Screening Job Applicants With Personality Tests	 employment
Is it Legal to Lay a Worker Off With No Further Explanation	 employment
Making Excessive Reimbursement Claims With Your Employer	 employment
What Happens if You Don't Disclose a Misdemeanor When Applying for a Job	 employment
Can an Employee Get Fired for Refusing a Promotion	 employment
Can an Employer Make You Use Unpaid Leave for Doctor Visits	 employment
Age Discrimination Against Older Workers	 employment
Should a Mortgage Subsidy Continue After You've Been Laid Off	 employment
Denied Unemployment After Getting Fired for Breach of Job Duties	 employment
Can Your Employer Require You to Use your Own Money to Make Change for Customers	 employment
Possible Age Discrimination in Termination of a 60-Year-Old from a Job	 employment
Can You Get Unemployment After Drinking at Work Due to Stress	 employment
Employer is Scheduling Excessive On-Call Duty	 employment
Can an Employer Ask You if You Can Do Light Duty Work During FMLA Leave	 employment
Can You Sue Your Employer for Not Holding Your Job After FMLA is Exhausted	 employment
Removed From Schedule Due To Wife's Disability	 employment
Boss Told Me To Lie On My Application	 employment
Ten Hour Shifts and Overtime Pay	 employment
Teenage Daughter Wrongfully Terminated	 employment
Hourly Wages Wrong, Again	 employment
FMLA Court Ruling Ignored	 employment
Can Employer Claim Damages From Employee	 employment
Possible Wrongful Termination In Texas	 employment
Paid Time Off	 employment
False Accusation May Lead to Termination	 employment
Is it Legal to Freelance While on Unemployment	 employment
Employer Inquiry About Criminal Record After ACD	 employment
Severance Offered	 employment
Can a City Bar Employment Based on Criminal Records	 employment
Disabled Veteran, Fired After Becoming More Disabled	 employment
How to Check if You're Getting Bad Work Reference	 employment
Salaried, But Being Paid Hourly	 employment
Fired in Violation of my First Amendment Rights at Work	 employment
Transfer Retaliation	 employment
Employer Made Me Write a Resignation Letter	 employment
Wrongfuly Accused of Stealing and Fired for It	 employment
Can Your Employer Show Videotape of You Without Your Consent	 employment
Statute of Limitations on Wages Lawsuit	 employment
Reporting Small Amounts of Income to Unemployment	 employment
Can I Get Unemployment if I Cannot Work Changed Shift Schedule	 employment
Federal Job - Grade Increase and Promotion Without Applications Being Submitted	 employment
Freelance Work While Claiming Unemployment	 employment
Required to Wait for Other Employees After Clocking Out	 employment
Employee Who Writes the Schedule Gives Themself Preferential Treatment	 employment
What Kind of Notification is Required to Fire You when on FMLA	 employment
Maybe I Should Give My Two Weeks Notice then Was Told to Leave	 employment
Threatened with Unemployment Numerous Times, Harrasssment, and Disclosing Password	 employment
Being Suspended for Using Up and Going Over Your Given Sick Time	 employment
Felony Discrimination	 employment
Incorrect Pay, and Termination	 employment
How to Find a Lawyer for a Wage and Hour Case in New Jersey	 employment
Ordered to Do Work Outside of Restrictions and Retaliation for Reporting It	 employment
Termination While on Medical Leave	 employment
Former Employer is Keeping Me From Getting a Job	 employment
Moved Based on False Promise of a Job	 employment
Fired for Chronic Tardiness	 employment
School Bus Driver Disciplined Over Close Call While Driving	 employment
Becoming a Witness in a Co-Worker's Discrimination Lawsuit	 employment
Fired After Returning from Short Term Disability	 employment
Promotion Based on Certification Requirements	 employment
Fired Because of My Weight, Now Getting Ready for Trial	 employment
Manager Assigned to Wait Tables, Tips Deducted from Salary	 employment
Disability and Paid Maternity Leave Denied	 employment
Minor Paid Under the Table	 employment
Can An Employer Say That You Abandoned Your Job	 employment
Can You Be Fired for Testing Positive for Opiates if You Deny Taking Medication	 employment
Employer is Not Making Payroll	 employment
Can Poor Credit from Foreclosure or Bankruptcy Cost You a Job	 employment
Employee Told That She Cannot Use the Disabled Parking Spot in Company Lot	 employment
Deduction for Exempt Employee for Voluntary Absence Combined with EDD Workshare	 employment
Employer Not Returning Personal Property to Me	 employment
Unemployment Appeal Denied as Untimely	 employment
Reimbursements Owed to the Employer for Resigning Before Working for a Year	 employment
Do I Need to Reveal Name of New Employer at Exit Interview	 employment
Unemployment Eligibility in California with Voluntary Quit	 employment
Can an Employer Assess a Fee if You Quit Within 90 Days of Employment	 employment
Employer Won't Pay for Time in Court on a Traffic Court Summons	 employment
Fired for Letting a Family Member Use Employee Discount	 employment
Terminated Because of a Medical Condition	 employment
Can You Be Fired on a Saturday	 employment
Sexual Harrassment at a Small Office	 employment
Employer Requires Employees to Stay for Time Card Review After Clocking Out	 employment
Getting Unemployment After Termination for Willful Misconduct	 employment
Medical Bills After Resigning Due to Dehydration	 employment
Can a Student Be Denied Clinical Rotations Based Upon an Expunged Felony	 employment
Employer Monitors Employee Computer Activity With a Keylogger	 employment
Non-Compete and Recruitment Payback	 employment
Denied Unemployment After Quitting Due to a Reduction in Pay	 employment
Passing a Fire Department Background Investigation	 employment
Can an Employer Eliminate a Pay Period in a Calendar Year	 employment
Conversion from Hourly Wage to Annual Salary	 employment
Does FMLA Eligibilty Include a Prior Period of Employment	 employment
Whether to Request a Hearing Over Proposed Termination	 employment
Holiday Pay and Worked Hours	 employment
Are Teaching Assistants Eligible for Unemployment Insurance	 employment
Unemployment Appeal Denied Despite Having Been Asked to Resign	 employment
Are You Entitled to Severance Pay if Fired After Giving Notice	 employment
Exempt from Overtime and Pressured into Working 60 Hour Weeks for Only 40k a Year	 employment
Late Issuance of a Final Paycheck	 employment
Can You Get Unemployment After Being Fired for Poor Performance	 employment
Fired for Breaking Policy I Was Never Informed About	 employment
Employer Taking Tips Away As Punishment	 employment
Do You Have to Reimburse an Employer for Damage You Cause to a Company Vehicle	 employment
Accused of Unemployment Fraud	 employment
Can You Get Unemployment if You Quit Due to a Schedule Change	 employment
Can an Employer Require Employee Vaccination and a Liability Waiver	 employment
Do I Have to Work With a Supervisor Under Investigation for Racist Actions	 employment
What Really Comes Up on Job History	 employment
Job Offer Revoked Based on Criminal Background Check	 employment
International Company Paying American "Salary"	 employment
Fired for Violating Cell Phone Policy	 employment
Job Offer Rescinded After Medical Exam	 employment
Benefit Year Expired 2 Months After I Opened Approved Claim	 employment
Terminated for Something I Didn't Do	 employment
Is It Legal to Fire Someone in the Middle of Their Shift	 employment
Fired from Work Because Foot Fracture	 employment
Terminated After Employee Failed to Follow its Disciplinary Policy	 employment
Fired After Being Seen in Public on Medical Leave	 employment
Employer Instituting Drug Tests, Unemployment Eligibility if I Fail	 employment
Told Not to Report Overtime	 employment
Firing an Employee for Repeated Absences	 employment
Uncontested Unemployment Appeal	 employment
Denied Unemployment Due to False Claim of Disparaging Emplloyer	 employment
Public Humiliation As a Punishment	 employment
Unemployment Appeal After Denial for Misconduct in California	 employment
Are You Presumed Responsible for Porn Found on Your Computer	 employment
H.R. Provides Unsatisfactory Response to Harassment and Retaliation Complaint	 employment
Can You Be Fired for Missing Work Due to a Family Emergency	 employment
Unfair Termination for Stealing Company Time	 employment
What Should You Tell Unemployment About Being Fired from a Prior Job	 employment
Denied Unemployment Despite Trying My Best at My Job	 employment
Co-Worker Wants Me to Report My Job Misconduct to My Supervisor	 employment
Ambiguous Language in a Non-Compete Agreement	 employment
Being Charged for Samples	 employment
How to Know if You'll Qualify for Unemployment	 employment
Ex-Employer is Viewing My Personal Emails	 employment
Can My Employer Make Me Pay for a Shortage	 employment
Should You Get Paid for Travel Time	 employment
Job Title Changed and Pay Lowered, but Duties Remain the Same	 employment
Fired Without Employer Following Defined Disciplinary Procedures	 employment
Boss Not Respecting "Light Duty" Orders and Pressures for Full-Time Return to Work	 employment
How Many Days in a Row Can Your Employer Make You Work	 employment
If I Quit My Job Because My Boss Berates Me Can I Get Unemployment	 employment
Denied Unemployment After Work as a Contractor	 employment
Mistreatment by Co-Workers After I Complained About Their Harassment	 employment
Employer Stated that I Resigned After I Declined an International Transfer	 employment
I'm a Salaried Employee but My Employer Isn't Tracking Overtime	 employment
Not Fired, But Removed from the Schedule for Refusing to Sign Disciplinary Slip	 employment
Outcomes of Mediation	 employment
When Can an Employer Require a Drug Test, and How is Testing Done	 employment
Can an At-Will Employee Claim Wrongful Termination	 employment
Can You Get Unemployment if Fired for Attendance and Lateness Issues	 employment
Denied Unemployment for Being Away from the Office While Clocked in	 employment
Threat of Termination if Employee Lobbies Against a Reduction of Hours	 employment
